ds,y,yhat,yhat_lower,yhat_upper
2014-01-01,0,82.06992683746572,-10.248189936571157,167.15807303796421
2014-01-02,70,63.04558060633566,-16.6211009026732,145.21769213587032
2014-01-03,59,71.90545142857341,-13.340499365547684,150.29283712458655
2014-01-04,93,120.99933754129883,37.760266502961876,203.98109588051528
2014-01-05,96,73.83805605347598,-9.785053785122605,156.9540561367267
2014-01-06,145,44.51038857439859,-34.25686992693198,127.76185563895457
2014-01-07,179,41.631331313451675,-45.14209418424951,124.71950496575
2014-01-08,321,66.12247154076076,-16.949421915692003,154.43210197137984
2014-01-09,125,51.753932650024886,-36.25097096352856,137.0845123434225
2014-01-10,88,65.58978481317985,-12.210401853461367,146.79392382863747
2014-01-11,188,119.86766942074978,35.24314373691432,202.96361285645636
2014-01-12,121,77.98200356403362,-4.126260969907616,166.2177929684786
2014-01-13,134,53.90346504689745,-28.031995052972256,139.72451251937372
2014-01-14,80,56.12979976917126,-28.74980932444893,140.2329326614036
2014-01-15,82,85.46871767040965,3.649355104450632,171.24231711007315
2014-01-16,94,75.58226521403597,-8.1691333778012,162.73330390774456
2014-01-18,159,151.17330616200104,64.19205865661779,234.02438942384532
2014-01-19,199,112.11525851651247,17.011299322186034,189.36820215889014
2014-01-20,104,90.16689024444499,3.803251377876112,173.86722928985418
2014-01-21,70,93.77668288683196,11.559263806433556,176.11244673056197
2014-01-22,127,123.7189357027313,48.449425312922294,211.27929625263985
2014-01-23,96,113.63874711375229,26.56856456009231,201.31844202099785
2014-01-24,75,130.49996411580102,50.63314678391752,214.30394681708566
2014-01-25,198,186.4667984096024,107.93963713480501,266.0110659252181
2014-01-26,168,144.88843844056464,54.12820848796682,230.79463811224545
2014-01-27,125,119.71933375826184,33.94876825505235,203.67906549002896
2014-01-28,86,119.4701828021395,35.778792267745324,197.87211461282146
2014-01-29,222,144.99039293518547,55.55525494563745,220.3690978339588
2014-01-30,272,130.01141646584853,50.826723834822026,213.4689034432624
2014-01-31,209,141.59283636030756,55.67327222443993,219.39258498587466
2014-02-01,369,192.0019420712752,105.86542055414628,278.98885653859963
2014-02-02,217,144.69616947904598,60.61885102552373,224.15112766496836
2014-02-03,97,113.7411281738828,31.279158142351594,199.17277726765371
2014-02-04,117,107.75929538394084,25.752733520278092,195.27023291270066
2014-02-05,100,127.71019325320293,44.906942652118204,209.6350067036676
2014-02-06,64,107.43150043628808,26.477290910229733,190.93416150387432
2014-02-07,35,114.08301691386771,26.786508947682435,194.8758641665007
2014-02-08,54,160.02426485286958,71.06147043742611,242.28612081546044
2014-02-09,55,108.79513823782655,24.694373791047337,191.63756432631914
2014-02-12,8,83.95285101899101,-1.4841338506244566,172.30649991693983
2014-02-13,43,62.50829133863374,-22.132545149831074,143.88441720689423
2014-02-14,107,68.75827381317009,-14.324022412635909,153.01234899796228
2014-02-15,116,115.0625349452074,31.60013396255339,199.93352450687453
2014-02-16,87,64.94624673922257,-16.149898441531345,147.5994222263268
2014-02-17,66,32.51692630141587,-53.82194762350636,118.06016077303771
2014-02-18,44,26.4125463888468,-63.379194065663235,108.81823966553196
2014-02-19,33,47.581669006515895,-42.21990157188848,128.37583741204412
2014-02-20,13,29.825047100943102,-58.80955505071929,115.19559588875934
2014-02-21,53,40.24059673558907,-46.349223645228406,124.34627928326404
2014-02-22,72,91.10249582449778,7.086964557101204,175.0975889944768
2014-02-23,50,45.84378589414202,-32.88131160083221,130.55178124674183
2014-02-24,15,18.475189685668838,-64.99454104130115,103.32803088834136
2014-02-25,12,17.535200574399624,-72.41361450457484,106.29278450250753
2014-02-26,71,43.87222562234827,-40.920331541386396,121.41835743819207
2014-02-27,37,31.188186964056158,-51.40383228470125,112.99641564443671
2014-02-28,83,46.485444294859974,-35.22817316080903,127.82871987924874
2014-03-01,94,101.94775640420536,20.062582277178773,179.382399221953
2014-03-02,59,60.92462229799307,-21.704327523599147,149.66520460804685
2014-03-03,49,37.351681655385164,-44.66816046825821,122.21320583643958
2014-03-05,65,68.7704017664162,-20.061475415816826,148.91194560673773
2014-03-06,55,58.216013816331845,-28.328707422572563,142.35271089036692
2014-03-07,77,75.01190065577583,-13.431133566362062,163.6414652228422
2014-03-08,122,131.3254630526297,48.94252735725429,212.78817604930296
2014-03-09,83,90.50315520306648,6.153527140034286,174.68432629451786
2014-03-10,75,66.49079239028632,-16.98215242970543,157.3811110919101
2014-03-11,48,67.78468069447706,-17.005855489935854,147.99918218487625
2014-03-12,45,95.21433430103548,6.88779373570914,177.21328613791547
2014-03-13,78,82.48617810357395,-1.4640952769909192,164.97463971643361
2014-03-14,122,96.63010068946,17.2072768900467,173.7273309128593
2014-03-16,116,105.65479267003464,20.718417258755085,189.6471308692538
2014-03-17,48,77.98126537209056,-6.416375520948437,166.1856775509652
2014-03-18,29,75.43938151671368,-3.6106643622111285,161.89036417567314
2014-03-19,91,98.94529278090505,16.371212875585147,182.95230309042935
2014-03-20,59,82.2928190011028,-2.412326830884337,168.01703117770708
2014-03-21,68,92.59818768381174,5.340011203679646,170.93560684254197
2014-03-22,137,142.17838591106462,56.46801476651608,229.1937406363186
2014-03-23,56,94.53252099665681,-0.21215044000848804,174.27231623842042
2014-03-24,13,63.75893244716709,-21.441668135831875,151.62997040368992
2014-03-25,45,58.50315014049209,-25.096697219992546,146.18772660686847
2014-03-26,25,79.73752782287153,-6.230440602273663,164.7714579856788
2014-03-27,25,61.30201125467431,-30.478329405186074,147.50573036527214
2014-03-28,174,70.34796460517657,-9.009752589583506,151.4854667204793
